name,cod,dt,main,description,icon,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,speed,deg,all,type,country,sunrise,sunset,gust,sea_level,grnd_level
London,200,2023-08-16 13:52:41,Clouds,overcast clouds,04d,-0.1257,51.5085,298.43,298.29,297.01,299.96,1018.0,49.0,4.63,110.0,99,2.0,GB,1970-01-01 00:00:01.692161222,1970-01-01 00:00:01.692213778,,,
New York,200,2023-08-16 14:00:50,Clouds,overcast clouds,04d,-74.006,40.7143,296.17,296.62,293.96,297.61,1013.0,80.0,2.06,0.0,100,2.0,US,1970-01-01 00:00:01.692180430,1970-01-01 00:00:01.692230029,,,
Córdoba,200,2023-08-16 14:02:31,Clouds,few clouds,02d,-64.1811,-31.4135,296.35,295.59,296.35,298.38,960.0,33.0,0.89,162.0,12,2.0,AR,1970-01-01 00:00:01.692183096,1970-01-01 00:00:01.692222647,3.13,,
Taipei,200,2023-08-16 14:02:32,Clouds,scattered clouds,03n,121.5319,25.0478,300.4,304.25,300.08,302.05,1006.0,87.0,1.54,270.0,40,2.0,TW,1970-01-01 00:00:01.692134879,1970-01-01 00:00:01.692181733,,,
Buenos Aires,200,2023-08-16 13:52:18,Clouds,overcast clouds,04d,-58.3772,-34.6132,295.29,295.49,294.72,296.09,1010.0,74.0,1.79,60.0,99,2.0,AR,1970-01-01 00:00:01.692181966,1970-01-01 00:00:01.692220992,0.0,,
Mexico City,200,2023-08-16 14:01:29,Clouds,broken clouds,04d,-99.1277,19.4285,287.01,286.2,287.01,288.21,1015.0,67.0,2.24,300.0,59,2.0,MX,1970-01-01 00:00:01.692188251,1970-01-01 00:00:01.692234264,,,
Dublin,200,2023-08-16 13:55:30,Clear,clear sky,01d,-121.9358,37.7021,290.1,289.91,285.87,293.15,1013.0,79.0,1.46,241.0,0,2.0,US,1970-01-01 00:00:01.692192254,1970-01-01 00:00:01.692241207,1.58,,
Tbilisi,200,2023-08-16 14:02:30,Clear,clear sky,01d,44.8337,41.6941,307.99,307.21,307.99,307.99,1014.0,28.0,3.09,0.0,0,1.0,GE,1970-01-01 00:00:01.692151779,1970-01-01 00:00:01.692201644,,,
Bogota,200,2023-08-16 13:56:22,Clouds,scattered clouds,03d,-74.0817,4.6097,286.88,286.32,286.88,286.88,1028.0,77.0,3.09,50.0,40,1.0,CO,1970-01-01 00:00:01.692183170,1970-01-01 00:00:01.692227325,,,
Tokyo,200,2023-08-16 14:02:22,Clouds,broken clouds,04n,139.6917,35.6895,301.1,306.57,299.29,301.84,1004.0,89.0,6.69,180.0,75,2.0,JP,1970-01-01 00:00:01.692129623,1970-01-01 00:00:01.692178274,,,
Helmand Province,200,2023-08-16 14:02:39,Clear,clear sky,01d,64.0,31.0,33.82,31.37,33.82,33.82,1003.0,5.0,4.48,265.0,0,,AF,1970-01-01 00:00:01.692148219,1970-01-01 00:00:01.692196006,5.61,1003.0,926.0
Great River,200,2023-08-16 14:03:13,Clouds,overcast clouds,04d,-73.0,40.0,23.42,24.25,23.42,23.42,1012.0,93.0,5.32,56.0,100,,US,1970-01-01 00:00:01.692180265,1970-01-01 00:00:01.692229710,4.71,1012.0,1012.0
Colonia Caroya,200,2023-08-16 14:03:14,Clouds,scattered clouds,03d,-64.0,-31.0,26.19,26.19,26.19,26.19,1008.0,36.0,0.47,20.0,49,,AR,1970-01-01 00:00:01.692183020,1970-01-01 00:00:01.692222636,2.61,1008.0,959.0
Pasni,200,2023-08-16 14:03:15,Clouds,scattered clouds,03d,64.0,25.0,26.62,26.62,26.62,26.62,1005.0,86.0,8.47,246.0,32,,PK,1970-01-01 00:00:01.692148695,1970-01-01 00:00:01.692195530,8.91,1005.0,1005.0
Ombues de Lavalle,200,2023-08-16 14:03:16,Rain,light rain,10d,-58.0,-34.0,24.92,25.01,24.92,24.92,1010.0,59.0,7.66,350.0,100,,UY,1970-01-01 00:00:01.692181824,1970-01-01 00:00:01.692220953,15.61,1010.0,1003.0
Tlalnepantla,200,2023-08-16 14:03:17,Clouds,few clouds,02d,-99.0,19.0,15.8,15.39,14.29,16.53,1018.0,75.0,2.57,6.0,20,2.0,MX,1970-01-01 00:00:01.692188249,1970-01-01 00:00:01.692234205,3.61,1018.0,807.0
Tijnje,200,2023-08-16 14:00:03,Clouds,overcast clouds,04d,6.0,53.0,23.27,23.4,22.01,24.51,1021.0,67.0,4.42,27.0,86,2.0,NL,1970-01-01 00:00:01.692159488,1970-01-01 00:00:01.692212573,3.61,1021.0,1022.0
Amasia,200,2023-08-16 14:03:19,Clear,clear sky,01d,44.0,41.0,25.13,25.0,25.13,25.13,1016.0,50.0,3.69,58.0,0,1.0,AM,1970-01-01 00:00:01.692152057,1970-01-01 00:00:01.692201766,4.11,1016.0,771.0
Malé,200,2023-08-16 14:03:20,Clouds,broken clouds,04n,74.0,4.0,28.02,30.44,28.02,28.02,1012.0,68.0,2.97,229.0,55,,MV,1970-01-01 00:00:01.692147669,1970-01-01 00:00:01.692191756,3.01,1012.0,1012.0
Shuzenji,200,2023-08-16 14:01:05,Clear,clear sky,01n,139.0,35.0,24.06,25.03,24.06,24.06,1005.0,96.0,2.19,249.0,5,2.0,JP,1970-01-01 00:00:01.692129855,1970-01-01 00:00:01.692178374,3.21,,
